id,vin,price,miles,stock_no,year,make,model,trim,body_type,vehicle_type,drivetrain,transmission,fuel_type,engine_size,engine_block,seller_name,street,city,state,zip
bfb47696-9da4,1FTWW3BR3AEA44858,20995,168460,A44858,2010,Ford,F-350 Super Duty,XL,Pickup,Truck,4WD,Automatic,Diesel,6.4,V,silk city auto mall,290 Pennsylvania Avenue #,Paterson,NJ,7503
078e5aea-063d,WDDUG8FB1GA252600,39999,95746,252600T01,2016,Mercedes-Benz,S-Class,S550,Sedan,Car,4WD,Automatic,Premium Unleaded,4.7,V,volkswagen of streetsboro,855 Classic Drive,Streetsboro,OH,44241
9451b38f-62a6,1FMFK16538LA69736,10500,141736,7660A,2008,Ford,Expedition,XLT,SUV,Truck,4WD,Automatic,Unleaded,5.4,V,ford of hibbing,2615 E 13Th Ave,Hibbing,MN,55746
00f94944-7485,1FDXE4FS2GDC48510,60000,26114,1234A,2016,Ford,E-Series Cutaway,Base,Cutaway,Truck,RWD,Automatic,Unleaded,6.8,V,"ennis ford, inc.",900 N I-45,Ennis,TX,75119
1e2ffa9d-e551,3C6UR5CJ8GG361689,36951,91682,PU10562,2016,RAM,Ram 2500 Pickup,Tradesman,Pickup,Truck,4WD,Automatic,Unleaded,6.4,V,blevins motors inc,6691 State Highway 56,Potsdam,NY,13676
8797bf49-83a1,3C7WR9AJ1GG340505,36997,0,C2104261,2016,RAM,Ram 3500 Chassis Cab,Tradesman,Chassis Cab,Truck,4WD,Automatic,Unleaded,6.4,V,marshall nissan,3550 South 9th Street,Salina,KS,67401
b42e6c32-25e9,JTJBT20X860117128,,218983,10202,2006,Lexus,GX,470,SUV,Truck,4WD,Automatic,Premium Unleaded,4.7,V,cle cars llc,11111 Lorain Avenue,Cleveland,OH,44111
c7adcbd9-e3d6,5UXKR6C51J0U15224,47000,51530,PS5692,2018,BMW,X5,xDrive50i,SUV,Truck,4WD,Automatic,Premium Unleaded,4.4,V,five star ford lincoln,900 Russell Parkway,Warner Robins,GA,31088
581d491a-903d,1GCHK24G97E190586,,53230,{{ vehicle._no }},2007,Chevrolet,Silverado Classic 2500HD,Work,Pickup,Truck,4WD,Manual,Unleaded,8.1,V,richardson motors,5400 Westside Dr,Dubuque,IA,52003
1300caba-0c7f,1B7HG48N82S546638,2900,206108,16798A,2002,Dodge,Dakota,SLT,Pickup,Truck,4WD,Manual,Unleaded,4.7,V,genesis of waterloo,812 Washington Street,Waterloo,IA,50702
736b3944-7fcb,JTHFN48Y569000270,26446,82885,P00270,2006,Lexus,SC,430,Convertible,Car,RWD,Automatic,Premium Unleaded,4.3,V,hendrick acura southpoint,212 Kentington Drive,Durham,NC,27713
2849123b-5c63,1GCCS1447X8122831,,0,51288B2,1999,Chevrolet,S-10,Base,Pickup,Truck,RWD,Manual,Unleaded,2.2,I,joe machens capital city ford,807 Southwest Boulevard,Jefferson City,MO,65109
d2ec07d4-95b2,WUAC6AFH5DN900659,31995,99974,23297A,2013,Audi,RS 5,Base,Convertible,Car,4WD,Automatic,Premium Unleaded,4.2,V,imperial motors jaguar of lake bluff,150 Skokie Highway,Lake Bluff,IL,60044
6dfc6bab-3724,1G4HA5E14AU104589,,95000,B206139A,2010,Buick,Lucerne,CX,Sedan,Car,FWD,Automatic,E85 / Unleaded,3.9,V,lou fusz toyota,10725 Manchester Road,Kirkwood,MO,63122
6760df84-f0b9,WDDAJ76F36M001012,298300,5534,FP4668,2006,Mercedes-Benz,SLR McLaren,Base,Coupe,Car,RWD,Automatic,Premium Unleaded,5.4,V,gold coast maserati,732 Northern Blvd,Great Neck,NY,11021
7e35994e-00de,WBY1Z4C53GV508046,24000,39145,SA11077,2016,BMW,i3,Mega World,Hatchback,Car,RWD,Automatic,Electric / Premium Unleaded,0.6,I,hendrick acura,6824 E Independence Blvd,Charlotte,NC,28227
33f6cc7d-341e,ZHWUT4ZF5LLA12830,175950,958,A12830,2020,Lamborghini,Huracan,EVO,Convertible,Car,4WD,Manual,Premium Unleaded,5.2,V,sts automotive denver,4301 Morrison Rd,Denver,CO,80219
afc1d18c-4163,5YMKT6C56J0X21085,69999,34836,T238,2018,BMW,X5 M,Base,SUV,Truck,4WD,Automatic,Premium Unleaded,4.4,V,hyundai of lincolnwood,6747 N. Lincoln Avenue,Lincolnwood,IL,60712
4bff0f67-4671,WBAYE8C5XFD781585,23736,105846,WF79361A,2015,BMW,7 Series,750Li,Sedan,Car,RWD,Automatic,Premium Unleaded,4.4,V,superior mazda of bentonville,2600 Se Moberly Lane,Bentonville,AR,72712
e70838bb-e018,1GCWGFCA7E1210688,13995,142351,#18921,2014,Chevrolet,Express Cargo,Work Van,Cargo Van,Truck,RWD,Automatic,E85 / Unleaded,4.8,V,r21 motorsports,5315 Butterbridge Road Northwest,Canal Fulton,OH,44614
ff96a55e-3d74,1FMJU2A56AEB46563,,163147,T30982A,2010,Ford,Expedition,Limited,SUV,Truck,4WD,Automatic,E85 / Unleaded,5.4,V,sanders ford,1135 Lejeune Blvd,Jacksonville,NC,28540
1a49a4dc-312d,MAJ3P1TE6JC236325,16999,42875,28523B,2018,Ford,Ecosport,SE,Crossover,Truck,FWD,Automatic,Unleaded,1,I,stokes kia,202 South Goose Creek Blvd.,Goose Creek,SC,29445
424c8b54-e52a,ML32A5HJ1KH002928,9995,57876,A-7728,2019,Mitsubishi,Mirage,LE,Hatchback,Car,FWD,Automatic,Unleaded,1.2,I,midtown autoworld llc,208 W Albany St,Herkimer,NY,13350
4b4a1a9c-2c4a,ML32A3HJ2HH002806,6500,129580,1534,2017,Mitsubishi,Mirage,ES,Hatchback,Car,FWD,Manual,Unleaded,1.2,I,auto world auto sales,1721 Yosemite Blvd,Modesto,CA,95354
be9dc574-6ae8,1B7HC16Y8YS543285,3995,137537,BP8246A,2000,Dodge,Ram Pickup,ST,Pickup,Truck,RWD,Manual,Unleaded,5.2,V,al baumann chevrolet buick,2379 W State St,Fremont,OH,43420
9f9df19a-f484,5TDZT34A64S236870,,265000,4S236870,2004,Toyota,Sequoia,SR5,SUV,Truck,RWD,Automatic,Unleaded,4.7,V,subaru el paso,1414 Airway Blvd.,El Paso,TX,79925
8394f25f-0aac,WBA7F2C57JG423728,53287,21870,5MP1006,2018,BMW,7 Series,750i,Sedan,Car,4WD,Automatic,Premium Unleaded,4.4,V,mercedes-benz of farmington,555 N. West Bourne Circle,Farmington,UT,84025
62bdcad9-41af,1GCZGTCA5C1201724,23285,26737,X6044,2012,Chevrolet,Express Cargo,Work Van,Cargo Van,Truck,RWD,Automatic,E85 / Unleaded,4.8,V,godard auto sales & leasing co,1252 Road,Medina,OH,44256
0827f5c1-11e0,1G1AB5F57A7202169,4999,164580,A7202169,2010,Chevrolet,Cobalt,LS,Sedan,Car,FWD,Manual,Unleaded,2.2,I,"lewis ford sales, inc.",3373 North College Avenue,Fayetteville,AR,72703
1147edb8-a5f1,4JGBF7BE2CA771255,14995,91622,CA771255,2012,Mercedes-Benz,GL-Class,GL450,SUV,Truck,4WD,Automatic,Premium Unleaded,4.7,V,auto start - national auto group,2218 North Loop West,Houston,TX,77018
130bc519-a472,1GCCS19W418126708,,202000,B1788A,2001,Chevrolet,S-10,Base,Pickup,Truck,RWD,Manual,Unleaded,4.3,V,hutch chevrolet buick gmc,1004 Third St,Paintsville,KY,41240
a5ed3051-40f6,2G1WL52M2W9259983,5750,88350,M2139,1998,Chevrolet,Lumina,LS,Sedan,Car,FWD,Automatic,Unleaded,3.1,V,mcgrath hyundai of dubuque,1040 N. Center Point Road,Hiawatha,IA,52233
8c7906d5-c3e6,3C6UR4HJ9JG306520,38425,77634,J2528A,2018,RAM,Ram 2500 Pickup,Tradesman,Pickup,Truck,RWD,Automatic,Unleaded,6.4,V,oviedo chrysler dodge jeep ram fiat,1980 W. State Highway 71 Bypass,La Grange,TX,78945
156bcdac-bd7e,4JGBF71E17A192359,13499,94946,192359,2007,Mercedes-Benz,GL-Class,GL450,SUV,Truck,4WD,Automatic,Premium Unleaded,4.7,V,sunset auto center,935 South Valley Drive,Las Cruces,NM,88005
c515282f-e0f3,WBSLX9C54DC968541,36000,59668,5500,2013,BMW,6 Series,M6,Coupe,Car,RWD,Automatic,Premium Unleaded,4.4,V,dean team automotive,14754 Manchester Road,Ballwin,MO,63011
37574603-9957,WP1AB2AY9LDA27336,91900,12837,,2020,Porsche,Cayenne,S,SUV,Truck,4WD,Automatic,Premium Unleaded,2.9,V,asbury automotive dealer services,1797 Founders Parkway,Alpharetta,GA,30009
47053522-d4ce,KL79MMS24MB068245,25000,1706,FA0695,2021,Chevrolet,Trailblazer,LS,SUV,Truck,FWD,Automatic,Unleaded,1.2,I,gilchrist automotive,3001 Fort Worth Highway,Weatherford,TX,76087
3721cdae-baff,WBY7Z8C54JVB86772,27898,29421,BB7351,2018,BMW,i3,s,Hatchback,Car,RWD,Automatic,Electric / Premium Unleaded,0.6,I,herb chambers volvo cars norwood,1120 Providence Highway,Norwood,MA,2062
4232f2cd-35bc,ML32F3FJ5HHF19282,7762,61248,Z303A,2017,Mitsubishi,Mirage G4,ES,Sedan,Car,FWD,Manual,Unleaded,1.2,I,sport durst hyundai of durham,4507 Durham Chapel Hill Blvd,Durham,NC,27707
c3f3bd78-69d4,4JGDF7CE7DA246264,21940,92016,P1777A,2013,Mercedes-Benz,GL-Class,GL450,SUV,Truck,4WD,Automatic,Premium Unleaded,4.7,V,land rover cherry hill,2000 Nj-70,Cherry Hill,NJ,8003
5743c29b-63ef,WDDNG7EB1CA470031,45900,39225,PL4473B,2012,Mercedes-Benz,S-Class,S63 AMG,Sedan,Car,RWD,Automatic,Premium Unleaded,5.5,V,honda of newnan,391 Newnan Crossing Bypass,Newnan,GA,30265
63c7d5fa-075d,1G8AG54F14Z118419,,165901,1G8AG54F14Z118419,2004,Saturn,ION,1,Sedan,Car,FWD,Automatic,Unleaded,2.2,I,bestautobuy,4465 Boulevard North,Las Vegas,NV,89115
f454a84d-ced8,4JGBF7BE4BA647986,16055,159645,B117986,2011,Mercedes-Benz,GL-Class,GL450,SUV,Truck,4WD,Automatic,Premium Unleaded,4.7,V,ciocca chevrolet of west chester,715 Autopark Blvd,West Chester,PA,19382
e07f5232-91f9,1GCDT13W21K257052,3000,200120,49474B,2001,Chevrolet,S-10,LS,Pickup,Truck,4WD,Automatic,Unleaded,4.3,V,baumann ford genoa,22110 West State Route 51,Genoa,OH,43430
b5d80d83-6225,1G1AB5F52A7203889,2995,101011,03-67-13,2010,Chevrolet,Cobalt,LS,Sedan,Car,FWD,Manual,Unleaded,2.2,I,escar auto,7121 Alameda Ave,El Paso,TX,79915
fd628c8c-cea0,2GTEC19VXY1376383,6999,197000,PD2121A,2000,GMC,Sierra,SLE,Pickup,Truck,RWD,Automatic,Unleaded,4.8,V,greenway toyota of the shoals,5100us-43,Tuscumbia,AL,35674
0c112a30-0118,ZARFAEAV7J7579596,58995,12761,J7579596,2018,Alfa Romeo,Giulia,Quadrifoglio,Sedan,Car,RWD,Automatic,Premium Unleaded,2.9,V,piazza honda of pottstown,629 North Lewis Rd,Limerick,PA,19468
c246b083-4dba,1GTP6DE19G1260472,32677,72486,P60472,2016,GMC,Canyon,SLT,Pickup,Truck,4WD,Automatic,Diesel,2.8,I,honda cars of mckinney,601 S Central Expy,Mckinney,TX,75070
226fbb40-af90,MAJ3P1TE0JC205667,19847,8067,34836T,2018,Ford,Ecosport,SE,SUV,Truck,FWD,Automatic,Unleaded,1,I,ganley westside hyundai,25600 Lorain Road,North Olmsted,OH,44070
f9a2c86c-bd1e,WMEEJ3BA0FK797844,9500,26591,20832PA,2015,smart,fortwo,passion,Coupe,Car,RWD,Automatic,Premium Unleaded,1,I,orr honda,4602 Gus Orr Dr,Texarkana,TX,75503
83647fe4-dfa7,ML32A3HJ5FH042794,10986,44147,80768B,2015,Mitsubishi,Mirage,DE,Hatchback,Car,FWD,Automatic,Unleaded,1.2,I,eddy's everything,8801 E Kellogg Dr,Wichita,KS,67207
3d16155a-ed68,1FMFU18LX3LB71937,5985,207751,211186A,2003,Ford,Expedition,Eddie Bauer,SUV,Truck,4WD,Automatic,Unleaded,5.4,V,bradley hubler chevrolet,1550 North 31,Franklin,IN,46131
04eee2c4-5edc,WVWPH63B83P037476,,1,R037476,2003,Volkswagen,Passat,GLS,Sedan,Car,FWD,Manual,Premium Unleaded,2.8,V,best way motors,4442 South Irby Street,Florence,SC,29505
c2717006-49b9,ZACNJAB10KPK71648,27285,8013,P2298,2019,Jeep,Renegade,Altitude Package,SUV,Truck,FWD,Automatic,Premium Unleaded,1.3,I,acura of melbourne,6957 Bromley Drive,Melbourne,FL,32940
2989e53e-7e25,1C3ADEBZ5DV400179,104907,7714,JO21B033,2013,Dodge,Viper,GTS,Coupe,Car,RWD,Manual,Premium Unleaded,8.4,V,west herr chrysler dodge jeep ram of lockport,6200 S Transit Road,Lockport,NY,14094
b66da226-e8f1,ML32A4HJ3LH002229,15998,702,K866665A,2020,Mitsubishi,Mirage,SE,Hatchback,Car,FWD,Automatic,Unleaded,1.2,I,mike miller mitsubishi,2007 West Pioneer Parkway,Peoria,IL,61615
c5f240de-7b68,1FMFU17577LA69391,9990,164974,PF17630,2007,Ford,Expedition,Eddie Bauer,SUV,Truck,RWD,Automatic,Unleaded,5.4,V,ron tonkin westside used cars,9008 Sw Canyon Rd,Portland,OR,97225
fbc8af64-41a4,WP1AB2AY8LDA28915,105840,3772,U8494,2020,Porsche,Cayenne,S,SUV,Truck,4WD,Automatic,Premium Unleaded,2.9,V,land rover santa barbara,401 S Hope Ave B,Santa Barbara,CA,93105
2cd430da-9944,3C6UR5CJ5HG767494,37811,72720,DP3310A,2017,RAM,Ram 2500 Pickup,Tradesman,Pickup,Truck,4WD,Automatic,Unleaded,6.4,V,crain ford of little rock,4601 Colonel Glenn Plaza Drive,Little Rock,AR,72210
5a57d4d1-e740,WBY7Z8C51JVB87507,31548,1945,X5985,2018,BMW,i3,s,Hatchback,Car,RWD,Automatic,Electric / Premium Unleaded,0.6,I,rick hendrick city chevrolet,5101 E Independence Blvd,Charlotte,NC,28212
6f05ca73-fcfc,WBY7Z4C58JVD96767,19999,20223,PA4395,2018,BMW,i3,s,Hatchback,Car,RWD,Automatic,Electric / Premium Unleaded,0.6,I,premier automotive inc,17569 Old Stage Coach Road,Dumfries,VA,22026
1237e290-abf8,1GTCS138068252288,9519,172584,T18950C,2006,GMC,Canyon,SLE,Pickup,Truck,RWD,Automatic,Unleaded,2.8,I,shottenkirk toyota granbury,5100 East Us Highway 377 East,Granbury,TX,76049
901ea0ed-a908,3C6TR5FJ1HG503387,46970,70595,DOT210826A,2017,RAM,Ram 2500 Pickup,Laramie,Pickup,Truck,4WD,Automatic,Unleaded,6.4,V,west herr ford of rochester,4545 Ridge Road,Rochester,NY,14626
ccb76e30-c0fe,1GTCS148368239727,10998,53645,C1855,2006,GMC,Canyon,SL,Pickup,Truck,RWD,Manual,Unleaded,2.8,I,mcgrath volkswagen of marion,675 Blairs Ferry Rd,Marion,IA,52302
3592b0c4-64b8,4JGDF7DE3FA579286,28595,93805,J21205-2,2015,Mercedes-Benz,GL-Class,GL550,SUV,Truck,4WD,Automatic,Premium Unleaded,4.7,V,jaguar dallas,11400 North Central Expy,Dallas,TX,75243
ef63505e-85fd,3C6UR5SJXKG538267,62434,64603,UE538267,2019,RAM,Ram 2500 Pickup,Laramie Limited,Pickup,Truck,4WD,Automatic,Unleaded,6.4,V,heartland ford,1810 Highway 25B North,Heber Springs,AR,72543
b7d069e7-df6c,ML32A3HJXLH002478,14490,4716,G3374ARTL,2020,Mitsubishi,Mirage,ES,Hatchback,Car,FWD,Manual,Unleaded,1.2,I,auto gallery mall of georgia,4135 Buford Drive,Buford,GA,30518
3652edef-8b3c,ML32A3HJ7HH015552,8791,69070,HH015552P,2017,Mitsubishi,Mirage,ES,Hatchback,Car,FWD,Manual,Unleaded,1.2,I,hanania automotive group,7200 Blanding Boulevard,Jacksonville,FL,32244
38078b67-118f,1FMJU1J56BEF08435,,152572,311008B,2011,Ford,Expedition,XLT,SUV,Truck,4WD,Automatic,E85 / Unleaded,5.4,V,phil long kia of colorado springs,1020 Motor City Drive,Colorado Springs,CO,80905
a977ce75-1a86,ML32F3FJXJHF05187,10665,63297,AV2974,2018,Mitsubishi,Mirage G4,ES,Sedan,Car,FWD,Manual,Unleaded,1.2,I,crain buick gmc,710 South Amity Road,Conway,AR,72032
2d6f9f83-a477,5LMJJ3J5XCEL07883,9995,185000,,2012,Lincoln,Navigator,Base,SUV,Truck,4WD,Automatic,E85 / Unleaded,5.4,V,pic bros auto sales,101 South Main Street,Muncy,PA,17756
a006dd14-9378,3GNBABFW0BS503558,5977,136558,X210997A,2011,Chevrolet,HHR,LT,Mini Mpv,Car,FWD,Automatic,E85 / Unleaded,2.2,I,todd wenzel chevrolet of hudsonville,3156 Highland Blvd,Hudsonville,MI,49426
6f1fe9a0-839d,1D7HW38PX9S780424,,,21-21,2009,Dodge,Dakota,Big Horn,Pickup,Truck,4WD,Automatic,E85 / Unleaded,4.7,V,the auto barn,220 Huffman Road,Linden,PA,17744
6241df99-02ad,WP1AC29P79LA82066,27488,116736,R1544,2009,Porsche,Cayenne,Turbo S,SUV,Truck,4WD,Automatic,Premium Unleaded,4.8,V,porsche delaware,1851 Ogletown Road,Newark,DE,19711
aad8b642-227a,3C6UR5DJ9KG699674,52650,18130,G2133A,2019,RAM,Ram 2500 Pickup,Big Horn,Pickup,Truck,4WD,Automatic,Unleaded,6.4,V,wegner auto,330 E. Sioux Ave,Pierre,SD,57501
6b6b2712-809b,4JGDF7DEXHA816391,44900,73629,A816391,2017,Mercedes-Benz,GLS-Class,GLS550,SUV,Truck,4WD,Automatic,Premium Unleaded,4.7,V,mercedes-benz of melbourne,509 East Nasa Boulevard,Melbourne,FL,32901
eb80e783-cb27,ZACNJBB13KPK08291,21899,29984,J210191A,2019,Jeep,Renegade,Latitude,SUV,Truck,4WD,Automatic,Premium Unleaded; Unleaded,1.3,I,bachman chrysler dodge jeep ram,630 Broadway St,Jeffersonville,IN,47130
61146ccb-39e3,1GKDT13S322439720,,1,16352,2002,GMC,Envoy,SLE,SUV,Truck,4WD,Automatic,Unleaded,4.2,I,danbury auto group,33 Rose Street,Danbury,CT,6810
0b6de218-acaa,WDDXJ7JB3FA007781,,10702,7781,2015,Mercedes-Benz,S-Class,S63 AMG®,Coupe,Car,4WD,Automatic,Premium Unleaded,5.5,V,kelly motorcars,2880 Bergey Road Q,Hatfield,PA,19440
451b7088-c8da,3GNBABFW1BS544118,,,P11990A,2011,Chevrolet,HHR,LT,Mini Mpv,Car,FWD,Automatic,E85 / Unleaded,2.2,I,reidsville nissan,1123 Freeway Dr,Reidsville,NC,27320
c018ead9-12f6,ML32A5HJXHH010826,10200,41779,H02096A,2017,Mitsubishi,Mirage,GT,Hatchback,Car,FWD,Automatic,Unleaded,1.2,I,mccarthy blue springs hyundai,3000 Nw South Outer Road,Blue Springs,MO,64015
c3eed414-2217,1FTWW30Y16EA22620,,370457,J21067A,2006,Ford,F-350 Super Duty,XLT,Pickup,Truck,RWD,Manual,Unleaded,6.8,V,jim butner auto sales,205 W Lewis And Clark Pkwy,Clarksville,IN,47129
abd0ca5a-d5c2,1FMFU16567LA48176,,214405,D8405A,2007,Ford,Expedition,XLT,SUV,Truck,4WD,Automatic,Unleaded,5.4,V,power newport chrysler jeep dodge,1217 North Coast Hwy 101,Newport,OR,97365
6d4e4edd-3af9,MAJ3P1TE8JC210065,21564,19828,AP52109,2018,Ford,Ecosport,SE,Crossover,Truck,FWD,Automatic,Unleaded,1,I,capital pre-owned center,4800 Capital Blvd,Raleigh,NC,27616
dd74adfd-364f,ML32F3FJ0HHF07654,9999,50264,SB10796A,2017,Mitsubishi,Mirage G4,ES,Sedan,Car,FWD,Automatic,Unleaded,1.2,I,demontrond buick gmc,17925 I-45 North,Houston,TX,77090
7a1f6e2b-4556,WBAYE8C56FD136593,41000,42000,,2015,BMW,7 Series,ALPINA B7,Sedan,Car,RWD,Automatic,Premium Unleaded,4.4,V,tred,220 Nw 8th Ave,Portland,OR,97209
aabceaee-0ced,KL8CD6S9XEC541149,8370,82293,H200633A,2014,Chevrolet,Spark,1LT,Hatchback,Car,FWD,Automatic,Unleaded,1.2,I,chapman nissan,6723 Essington Ave,Philadelphia,PA,19153
7b68c9c2-47ed,ZARBAAB40GM176549,59995,32255,GM176549,2016,Alfa Romeo,4C,Spider,Targa,Car,RWD,Automatic,Premium Unleaded,1.7,I,piazza volkswagen of ardmore,150 West Lancaster Avenue,Ardmore,PA,19003
89917842-de02,KL8CD6S91EC415214,5500,76632,1,2014,Chevrolet,Spark,1LT,Hatchback,Car,FWD,Automatic,Unleaded,1.2,I,woody's rod shop,8722 State Street,Sandy,UT,84070
43d13b7a-9bdd,1FMFU20518LA50904,9995,170456,CAW1994,2008,Ford,Expedition,Limited,SUV,Truck,4WD,Automatic,Unleaded,5.4,V,chantilly auto group,25280 Pleasant Valley Road 124,Chantilly,VA,20152
